OTU;taxo_1;taxo_2;taxo_3;genus;specie;taxo_3;genus;specie;LSA_feb_16;LCL_feb_16;LSC_aug_16;LCT_oct_16;LCL_sep_16;LSA_oct_16;LSC_may_16;LSA_aug_16;LSC_oct_16;LCT_jul_17;LCL_nov_16;LCL_jul_17;LSA_may_17;LSC_feb_17;LCL_sep_17_F;LCL_sep_17;LCT_sep_17;LCT_sep_17_F;LSA_sep_17;LSA_sep_17_F;LSC_24_aug_17;LSC_jul_17;LSC_jul_17_F;LSC_31_aug_17;LSC_31_aug_17_F;LCL_jul_17_F;LCT_jul_17_F;LCL_may_17;LCL_mar_17;LSC_mar_17;LCL_jan_17;LCT_mar_17;LSA_feb_17;LCL_feb_17;LCT_jan_17;LCT_feb_17;LSA_mar_17;LSC_may_17;LSA_jan_17;LSC_jan_17;LCT_may_17;LSC_mar_16;LSA_jul_17
542;Eukaryota;Archaeplastida;Chlorophyta;Hamakko;caudatus;Chlorophyta;Hamakko;caudatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;99;166;0;0;0;0;0;2;0
819;Eukaryota;Archaeplastida;Chlorophyta;Phacotus;lenticularis;Chlorophyta;Phacotus;lenticularis;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
821;Eukaryota;Archaeplastida;Chlorophyta;Phacotus;lenticularis;Chlorophyta;Phacotus;lenticularis;0;0;0;0;0;0;0;23;0;0;0;0;1;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41
842;Eukaryota;Archaeplastida;Chlorophyta;Phacotus;lenticularis;Chlorophyta;Phacotus;lenticularis;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
133;Eukaryota;Hacrobia;Centroheliozoa;Pterocystis;foliacea;Centroheliozoa;Pterocystis;foliacea;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;2;22;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;curvata;Cryptophyta;Cryptomonas;curvata;0;0;1;0;74;9;19;2;6;0;8;59;9;33;61;14;0;8;3;1;1;0;0;0;0;26;57;5;1;25;14;6;66;5;45;21;13;5;50;42;0;5;10
40;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;curvata;Cryptophyta;Cryptomonas;curvata;1;1;2;4;251;21;35;8;18;0;20;115;22;100;136;43;0;20;24;1;3;1;9;0;3;80;178;9;9;52;56;12;218;7;71;53;69;8;151;80;0;15;33
831;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;curvata;Cryptophyta;Cryptomonas;curvata;0;0;0;0;3;3;0;0;0;0;1;16;2;2;9;3;0;0;0;2;1;0;0;0;0;4;1;0;2;2;0;2;11;0;3;6;0;0;10;3;0;0;1
788;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;obovoidea;Cryptophyta;Cryptomonas;obovoidea;0;0;0;0;0;0;2;0;20;0;0;0;0;4;0;0;0;2;0;0;0;0;2;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
228;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;ovata;Cryptophyta;Cryptomonas;ovata;0;0;1;0;1;0;1;0;26;0;0;0;0;16;0;0;0;31;0;0;2;1;5;3;2;0;133;0;0;2;0;0;0;0;1;0;0;0;0;3;1;0;0
25;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;pyrenoidifera;Cryptophyta;Cryptomonas;pyrenoidifera;0;0;1;27;11;1;33;2;9;10;3;4;0;26;8;5;14;11;5;2;3;3;15;2;3;0;12;7;0;8;3;2;0;1;33;22;0;9;0;26;30;5;4
109;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;pyrenoidifera;Cryptophyta;Cryptomonas;pyrenoidifera;1;0;8;21;49;1;64;6;10;15;12;7;0;106;10;11;18;21;21;0;5;7;13;3;3;14;54;13;3;24;7;3;6;1;59;34;0;8;0;29;74;4;6
569;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;pyrenoidifera;Cryptophyta;Cryptomonas;pyrenoidifera;1;0;5;15;33;1;28;3;6;7;10;2;0;54;12;6;6;14;10;4;2;3;4;5;3;1;23;9;1;12;4;1;3;1;43;28;1;8;0;11;31;3;0
783;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;pyrenoidifera;Cryptophyta;Cryptomonas;pyrenoidifera;0;0;0;2;2;0;5;0;1;0;0;0;0;3;0;0;5;0;1;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;1;1;0;0;0;2;1;0;0
69;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;tetrapyrenoidosa;Cryptophyta;Cryptomonas;tetrapyrenoidosa;0;0;17;24;91;0;11;23;54;2;76;2;0;36;113;2;0;16;15;4;44;11;52;10;6;9;20;6;0;13;6;2;0;0;35;13;0;4;0;22;23;0;24
240;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;tetrapyrenoidosa;Cryptophyta;Cryptomonas;tetrapyrenoidosa;0;0;4;2;13;0;0;0;12;1;13;0;0;9;25;0;0;2;0;0;9;4;3;0;3;2;4;0;0;2;2;1;0;0;3;7;0;1;0;4;3;0;0
303;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;tetrapyrenoidosa;Cryptophyta;Cryptomonas;tetrapyrenoidosa;0;0;4;11;2;1;13;62;12;2;5;1;0;2;4;0;0;9;21;3;6;1;11;1;4;0;9;0;0;0;0;0;0;0;9;4;0;1;0;2;2;0;52
461;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;tetrapyrenoidosa;Cryptophyta;Cryptomonas;tetrapyrenoidosa;0;0;4;5;11;0;3;0;26;2;9;0;0;4;23;0;0;1;0;0;3;4;14;3;1;1;1;2;0;3;0;0;0;0;15;3;0;0;0;5;3;0;0
632;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;tetrapyrenoidosa;Cryptophyta;Cryptomonas;tetrapyrenoidosa;0;0;2;10;4;0;6;52;3;0;6;0;0;2;7;0;0;4;14;4;8;1;4;3;3;0;2;0;0;0;0;0;0;0;7;0;0;0;0;0;3;0;26
63;Eukaryota;Hacrobia;Cryptophyta;Goniomonas;truncata;Cryptophyta;Goniomonas;truncata;0;0;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
644;Eukaryota;Hacrobia;Cryptophyta;Hemiselmis;cryptochromatica;Cryptophyta;Hemiselmis;cryptochromatica;0;0;0;0;1;0;0;0;0;0;2;0;0;0;43;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
779;Eukaryota;Hacrobia;Cryptophyta;Plagioselmis;nannoplanctica;Cryptophyta;Plagioselmis;nannoplanctica;0;0;1;0;0;0;4;0;0;0;0;3;0;0;2;0;0;0;0;0;1;0;1;0;0;1;1;26;1;11;4;1;2;0;0;0;4;1;3;4;0;1;0
784;Eukaryota;Hacrobia;Cryptophyta;Plagioselmis;nannoplanctica;Cryptophyta;Plagioselmis;nannoplanctica;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;4;0;0;0;0;0;0;0;0;0;6;0;0;0;0;5;0;4;0;0;0;0;0;31;0;0;0;0
789;Eukaryota;Hacrobia;Cryptophyta;Plagioselmis;nannoplanctica;Cryptophyta;Plagioselmis;nannoplanctica;1;0;0;0;1;0;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;1;3;0;10;1;0;1;0;0;0;0;0;5;2;0;1;0
812;Eukaryota;Hacrobia;Cryptophyta;Rhodomonas;minuta;Cryptophyta;Rhodomonas;minuta;0;0;0;0;0;3;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0
99;Eukaryota;Hacrobia;Haptophyta;Chrysochromulina;parva;Haptophyta;Chrysochromulina;parva;0;0;2;4;17;883;622;5;5;11;9;138;373;17;62;64;15;0;14;6;19;5;0;16;6;89;0;2;2;95;1;0;97;0;0;0;4;17;105;69;12;3;496
173;Eukaryota;Hacrobia;Haptophyta;Chrysochromulina;parva;Haptophyta;Chrysochromulina;parva;0;0;0;0;0;0;0;0;4;0;0;0;0;1;1;0;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
352;Eukaryota;Opisthokonta;Choanoflagellida;Monosiga;ovata;Choanoflagellida;Monosiga;ovata;0;0;8;45;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;4;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
491;Eukaryota;Opisthokonta;Choanoflagellida;Monosiga;ovata;Choanoflagellida;Monosiga;ovata;0;0;1;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
750;Eukaryota;Rhizaria;Cercozoa;Bodomorpha;prolixa;Cercozoa;Bodomorpha;prolixa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;Eukaryota;Stramenopiles;Ochrophyta;Dinobryon;bavaricum;Chrysophyta;Dinobryon;bavaricum;0;0;31;1;124;0;21;0;8;8;14;27;0;0;328;63;3;0;0;0;157;1;46;129;50;6;0;700;1;0;0;4;0;0;0;0;0;2;0;0;8;0;0
201;Eukaryota;Stramenopiles;Ochrophyta;Dinobryon;crenulatum;Chrysophyta;Dinobryon;crenulatum;0;0;13;7;0;0;158;0;3;52;0;12;0;0;0;1;9;0;0;0;30;5;3;33;23;0;2;2;0;0;0;0;0;0;1;0;0;10;0;0;56;0;0
35;Eukaryota;Stramenopiles;Ochrophyta;Dinobryon;divergens;Chrysophyta;Dinobryon;divergens;0;0;18;1;173;0;19;0;4;8;5;62;0;0;495;99;3;0;0;0;385;2;92;227;85;11;0;1172;0;0;0;1;0;0;0;0;0;1;1;0;9;0;1
226;Eukaryota;Stramenopiles;Ochrophyta;Dinobryon;sociale;Chrysophyta;Dinobryon;sociale;0;0;31;94;0;0;7;0;0;0;0;0;0;3;0;0;0;6;0;0;147;139;1286;199;71;0;28;0;0;1;0;13;0;0;15;2;0;1;0;2;8;22;0
288;Eukaryota;Stramenopiles;Ochrophyta;Dinobryon;sociale;Chrysophyta;Dinobryon;sociale;0;0;3;18;0;0;13;0;0;0;0;0;0;11;0;0;0;1;0;0;19;7;146;28;3;0;4;0;0;6;0;3;0;0;3;0;0;4;0;3;1;108;0
316;Eukaryota;Stramenopiles;Ochrophyta;Dinobryon;sociale;Chrysophyta;Dinobryon;sociale;0;0;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;9;110;30;16;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
472;Eukaryota;Stramenopiles;Ochrophyta;Dinobryon;sociale;Chrysophyta;Dinobryon;sociale;0;0;4;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;13;63;26;12;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
531;Eukaryota;Stramenopiles;Ochrophyta;Dinobryon;sociale;Chrysophyta;Dinobryon;sociale;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;17;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
