OTU;taxo1;taxo2;taxo3;taxo4;taxo5;taxo6;taxo7;taxo8;LSA_feb_16;LCL_feb_16;LSC_aug_16;LCT_oct_16;LCL_sep_16;LSA_oct_16;LSC_may_16;LSA_aug_16;LSC_oct_16;LCT_jul_17;LCL_nov_16;LCL_jul_17;LSA_may_17;LSC_feb_17;LCL_sep_17_F;LCL_sep_17;LCT_sep_17;LCT_sep_17_F;LSA_sep_17;LSA_sep_17_F;LSC_24_aug_17;LSC_jul_17;LSC_jul_17_F;LSC_31_aug_17;LSC_31_aug_17_F;LCL_jul_17_F;LCT_jul_17_F;LCL_may_17;LCL_mar_17;LSC_mar_17;LCL_jan_17;LCT_mar_17;LSA_feb_17;LCL_feb_17;LCT_jan_17;LCT_feb_17;LSA_mar_17;LSC_may_17;LSA_jan_17;LSC_jan_17;LCT_may_17;LSC_mar_16;LSA_jul_17
720;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;Unclassified;Unclassified;3;0;0;24;0;2;35;0;0;1;0;0;1;0;0;0;11;0;1;0;0;0;0;0;0;0;5;0;0;1;9;2;4;2;0;0;1;45;30;0;0;1;0
420;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;Unclassified;Unclassified;3;0;6;0;42;3;6;46;11;0;1;4;24;0;9;28;0;0;105;176;14;31;7;2;13;9;0;1;0;0;0;0;60;0;0;0;2;1;3;0;0;0;5
41;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Unclassified;Unclassified;0;3;989;860;0;4;301;0;173;47;2;0;0;2;0;0;131;10;0;0;41;382;180;55;159;0;5;0;0;1;0;9;0;1;42;15;1;19;0;0;0;12;0
478;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Unclassified;Unclassified;109;2;8;0;0;5;11;2;4;0;2;1;5;113;0;0;0;2;1;1;12;0;2;0;3;0;21;0;1;1;3;47;53;0;20;14;7;3;12;5;2;18;0
522;Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Pirellula;Unclassified;Unclassified;0;0;5;0;0;6;0;1;5;0;0;0;0;0;0;0;8;0;4;7;1;6;8;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
642;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Phormidiaceae;Planktothrix;agardhii;"NIVA-CYA; 15; 126/8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;113;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
779;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonaceae;pLW-20;Unclassified;Unclassified;0;11;0;1;15;1;16;0;23;0;112;9;0;2;5;27;2;0;2;0;10;5;2;0;10;1;0;6;33;5;6;0;0;3;0;0;0;20;0;0;0;1;0
24;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Polaromonas;Unclassified;Unclassified;307;1006;18;97;536;235;196;81;28;35;463;70;258;104;176;388;33;13;16;24;24;35;18;6;9;304;112;429;1507;2325;579;297;364;753;122;117;1928;436;178;67;109;4050;22
208;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Polymorphobacter;Unclassified;Unclassified;7;173;0;0;1;1;52;0;1;2;1;0;51;15;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;73;0;12;26;2;10;1;11;7;42;1;0;734;0
214;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Polynucleobacter;cosmopolitanus;Unclassified;2;19;3;0;5;42;2;587;2;0;73;16;6;0;0;0;0;0;222;201;2;1;1;0;1;0;3;9;1;3;4;0;0;4;0;0;0;0;1;0;0;0;89
15;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Polynucleobacter;Unclassified;Unclassified;15;144;69;203;55;7;2208;7;245;116;316;66;53;41;24;64;122;3;8;2;28;46;25;23;36;30;29;299;77;105;158;55;50;102;61;38;19;993;20;29;356;235;4
35;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Polynucleobacter;Unclassified;Unclassified;36;574;396;749;167;15;1073;34;571;94;672;282;70;622;33;189;218;7;21;13;109;132;59;50;87;114;33;1016;277;557;433;126;30;287;284;104;44;534;19;78;50;3731;13
7;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Polynucleobacter;Unclassified;Unclassified;68;620;333;723;1625;191;762;631;801;99;1458;488;434;207;138;604;298;19;292;265;97;100;60;81;88;113;33;1368;285;328;619;96;232;414;225;113;68;418;94;89;112;1070;276
